['./cordex_db_report.py', 'EUR-11', 'ps', 'day', 'esgffiles']
+----+------------+-------------+-----------------------+------------+---------+-------------+
|    | Experiment |  Institute  |     Driving Model     |   Model    | # Files | Volume [GB] |
| 12 | historical |     SMHI    |     ICHEC-EC-EARTH    |    RCA4    |    8    |  2470024072 |
| 13 | historical |     SMHI    |   IPSL-IPSL-CM5A-MR   |    RCA4    |    8    |  2465094544 |
| 14 | historical |     SMHI    |    MOHC-HadGEM2-ES    |    RCA4    |    8    |  2453086367 |
| 15 | historical |     SMHI    |    MPI-M-MPI-ESM-LR   |    RCA4    |    8    |  2470884787 |
| 16 |   rcp26    |     SMHI    |     ICHEC-EC-EARTH    |    RCA4    |    19   |  6509379783 |
| 17 |   rcp45    |    CLMcom   | CNRM-CERFACS-CNRM-CM5 | CCLM4-8-17 |    19   | 13238098514 |
| 18 |   rcp45    |    CLMcom   |     ICHEC-EC-EARTH    | CCLM4-8-17 |    19   | 13225574212 |
| 19 |   rcp45    |    CLMcom   |    MPI-M-MPI-ESM-LR   | CCLM4-8-17 |    19   | 13205733304 |
| 20 |   rcp45    |     DMI     |     ICHEC-EC-EARTH    |  HIRHAM5   |    19   |  6212537833 |
| 21 |   rcp45    | IPSL-INERIS |   IPSL-IPSL-CM5A-MR   |  WRF331F   |    19   | 13592061158 |
| 22 |   rcp45    |     KNMI    |     ICHEC-EC-EARTH    |  RACMO22E  |    19   |  8370521793 |
| 23 |   rcp45    |     SMHI    | CNRM-CERFACS-CNRM-CM5 |    RCA4    |    19   |  6488480043 |
| 24 |   rcp45    |     SMHI    |     ICHEC-EC-EARTH    |    RCA4    |    19   |  6502728992 |
| 25 |   rcp45    |     SMHI    |   IPSL-IPSL-CM5A-MR   |    RCA4    |    19   |  6490302665 |
| 26 |   rcp45    |     SMHI    |    MOHC-HadGEM2-ES    |    RCA4    |    19   |  6383549121 |
| 27 |   rcp45    |     SMHI    |    MPI-M-MPI-ESM-LR   |    RCA4    |    19   |  6501625308 |
| 28 |   rcp85    |    CLMcom   | CNRM-CERFACS-CNRM-CM5 | CCLM4-8-17 |    19   | 13226304621 |
| 29 |   rcp85    |    CLMcom   |     ICHEC-EC-EARTH    | CCLM4-8-17 |    19   | 13211541961 |
| 30 |   rcp85    |    CLMcom   |    MPI-M-MPI-ESM-LR   | CCLM4-8-17 |    19   | 13187643626 |
| 31 |   rcp85    |     DMI     |     ICHEC-EC-EARTH    |  HIRHAM5   |    19   |  6197329848 |
| 32 |   rcp85    | IPSL-INERIS |   IPSL-IPSL-CM5A-MR   |  WRF331F   |    19   | 13575984895 |
| 33 |   rcp85    |     KNMI    |     ICHEC-EC-EARTH    |  RACMO22E  |    19   |  8350403306 |
| 34 |   rcp85    |     SMHI    | CNRM-CERFACS-CNRM-CM5 |    RCA4    |    19   |  6480651335 |
| 35 |   rcp85    |     SMHI    |     ICHEC-EC-EARTH    |    RCA4    |    19   |  6493254014 |
| 36 |   rcp85    |     SMHI    |   IPSL-IPSL-CM5A-MR   |    RCA4    |    19   |  6464472251 |
| 37 |   rcp85    |     SMHI    |    MOHC-HadGEM2-ES    |    RCA4    |    19   |  6376408634 |
| 38 |   rcp85    |     SMHI    |    MPI-M-MPI-ESM-LR   |    RCA4    |    19   |  6490836053 |
+----+------------+-------------+-----------------------+------------+---------+-------------+
['./cordex_db_report.py', 'EUR-11', 'huss', 'day', 'esgffiles']
+----+------------+-------------+-----------------------+------------+---------+-------------+
|    | Experiment |  Institute  |     Driving Model     |   Model    | # Files | Volume [GB] |
+----+------------+-------------+-----------------------+------------+---------+-------------+
| 0  | evaluation |    CLMcom   |      ECMWF-ERAINT     | CCLM4-8-17 |    5    |  3487490355 |
| 1  | evaluation |     DMI     |      ECMWF-ERAINT     |  HIRHAM5   |    6    |  2370091206 |
| 2  | evaluation | IPSL-INERIS |      ECMWF-ERAINT     |  WRF331F   |    5    |  3514441835 |
| 3  | evaluation |     KNMI    |      ECMWF-ERAINT     |  RACMO22E  |    8    |  4367962561 |
| 4  | evaluation |     SMHI    |      ECMWF-ERAINT     |    RCA4    |    7    |  2562887010 |
| 5  | historical |    CLMcom   | CNRM-CERFACS-CNRM-CM5 | CCLM4-8-17 |    12   |  9835338509 |
| 6  | historical |    CLMcom   |     ICHEC-EC-EARTH    | CCLM4-8-17 |    12   |  9843053568 |
| 7  | historical |    CLMcom   |    MPI-M-MPI-ESM-LR   | CCLM4-8-17 |    12   |  9777237772 |
| 8  | historical |     DMI     |     ICHEC-EC-EARTH    |  HIRHAM5   |    11   |  5705939853 |
| 9  | historical | IPSL-INERIS |   IPSL-IPSL-CM5A-MR   |  WRF331F   |    7    |  6162211212 |
